epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.326241135597229,0.4970574975013733,9.999999747378752e-06,1.8512181043624878,0.328125,0.2978723347187042,0.3333333432674408,0.49163782596588135,1.144741415977478,0.0,0.0
1,0.3546099364757538,0.4919646978378296,9.999999747378752e-06,1.8306807279586792,0.315315306186676,0.24822695553302765,0.3333333432674408,0.4901961088180542,1.1449178457260132,0.0,0.0
2,0.43262410163879395,0.5715004205703735,9.999999747378752e-06,1.562668800354004,0.41818180680274963,0.326241135597229,0.3333333432674408,0.4901961088180542,1.144985318183899,0.0,0.0
3,0.326241135597229,0.47588151693344116,9.999999747378752e-06,1.9277263879776,0.2905983030796051,0.24113474786281586,0.3333333432674408,0.4901961088180542,1.144837498664856,0.0,0.0
4,0.27659574151039124,0.47559231519699097,4.999999873689376e-06,1.6495678424835205,0.2616822421550751,0.19858156144618988,0.3333333432674408,0.4711649417877197,1.1448310613632202,0.0,0.0
5,0.24113474786281586,0.45559829473495483,4.999999873689376e-06,1.8122831583023071,0.2542372941970825,0.21276596188545227,0.3333333432674408,0.49183008074760437,1.1445400714874268,0.0,0.0
6,0.3120567500591278,0.4862305819988251,4.999999873689376e-06,1.873192310333252,0.3017241358757019,0.24822695553302765,0.3333333432674408,0.4901961088180542,1.1442517042160034,0.0,0.0
7,0.39007091522216797,0.5516322255134583,4.999999873689376e-06,1.603225588798523,0.4017857015132904,0.3191489279270172,0.3333333432674408,0.46405231952667236,1.1438360214233398,0.0,0.0
8,0.283687949180603,0.4399929642677307,4.999999873689376e-06,1.9104644060134888,0.25471699237823486,0.19148936867713928,0.3333333432674408,0.4999999701976776,1.14351487159729,0.0,0.0
9,0.2978723347187042,0.4589306712150574,4.999999873689376e-06,1.772362232208252,0.3113207519054413,0.23404255509376526,0.3333333432674408,0.4999999701976776,1.143162488937378,0.0,0.0
10,0.3546099364757538,0.5075322985649109,4.999999873689376e-06,1.7713489532470703,0.3113207519054413,0.23404255509376526,0.3333333432674408,0.47058823704719543,1.1429139375686646,0.0,0.0
11,0.3404255211353302,0.5180071592330933,4.999999873689376e-06,1.6710851192474365,0.3392857015132904,0.26950353384017944,0.3333333432674408,0.5098039507865906,1.1427853107452393,0.0,0.0
12,0.347517728805542,0.5326567888259888,4.999999873689376e-06,1.7556111812591553,0.38383838534355164,0.26950353384017944,0.3333333432674408,0.5098039507865906,1.142648458480835,0.0,0.0
13,0.368794322013855,0.5343544483184814,4.999999873689376e-06,1.613167643547058,0.3679245412349701,0.27659574151039124,0.3333333432674408,0.48356401920318604,1.142359972000122,0.0,0.0
14,0.3617021143436432,0.5029802322387695,4.999999873689376e-06,1.7603309154510498,0.37272727489471436,0.29078012704849243,0.3333333432674408,0.5098039507865906,1.1420139074325562,0.0,0.0
15,0.304964542388916,0.47292643785476685,4.999999873689376e-06,1.7623733282089233,0.3097345232963562,0.24822695553302765,0.3333333432674408,0.5098039507865906,1.1416914463043213,0.0,0.0
16,0.3546099364757538,0.5188748240470886,4.999999873689376e-06,1.6499284505844116,0.36936935782432556,0.29078012704849243,0.3333333432674408,0.5571895837783813,1.1415612697601318,0.0,0.0
17,0.3546099364757538,0.5326316952705383,4.999999873689376e-06,1.67280113697052,0.38317757844924927,0.29078012704849243,0.3333333432674408,0.5098039507865906,1.14146888256073,0.0,0.0
18,0.38297873735427856,0.538604736328125,4.999999873689376e-06,1.5541085004806519,0.378947377204895,0.25531914830207825,0.3333333432674408,0.5098039507865906,1.1414270401000977,0.0,0.0
19,0.3333333432674408,0.5088778138160706,4.999999873689376e-06,1.7510522603988647,0.3564356565475464,0.25531914830207825,0.3333333432674408,0.5098039507865906,1.1414477825164795,0.0,0.0
